OBJECTID;NUMERO;IMMEUBLE;DESIGNATION;DENOMINATION;COMPLEMENT;ALTITUDE;ANNEE;X;Y;TYP;geo_shape;geo_point_2d
14335;rn42013;70;Rue;SAINT-SABIN;#;34.135;1985;602346.084;128797.058;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.36849894068114, 48.859626803948466]}";48.8596268039,2.36849894068
14373;rn43173;#;Rue du;CHEMIN VERT;A l'angle de la rue Servan_ Sur le pan coupé;47.761;1985;603389.685;129012.016;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.382724002180594, 48.861554989702825]}";48.8615549897,2.38272400218
14376;rn34039;2;Rue;SCRIBE;#;35.8;1985;599542.698;130043.807;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.330289945410934, 48.870842833910736]}";48.8708428339,2.33028994541
14380;rn93387;7;Rue;MARCCEAU;93-LE PRE SAINT-GERVAIS;57.871;1992;604620.601;131971.851;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.399534310783685, 48.888164004799954]}";48.8881640048,2.39953431078
14391;rn79218;#;#;CIMETIERE DU PERE LACHAISE;Avenue des Acacias sur l'escalier menant au chemin Dragon;75.374;1988;604273.764;128783.785;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.394771236656589, 48.85949705007313]}";48.8594970501,2.39477123666
14401;rn18052;39;Rue;GRACIEUSE;#;51.235;1981;601096.169;127031.293;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.351459175343738, 48.8437512371824]}";48.8437512372,2.35145917534
14415;rn66234;68;Rue;JOUFFROY D'ABBANS;#;41.385;1993;597735.064;131554.442;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.305639497490244, 48.88442361014368]}";48.8844236101,2.30563949749
14468;rn70279;15;Rue de;TRETAIGNE;Près de la rue Duc;60.809;1988;600427.428;132441.115;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.342353009530615, 48.892401241322546]}";48.8924012413,2.34235300953
14481;rn56135;42;Rue;GUILLEMINOT;#;64.019;1995;598573.618;126128.148;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.317093422556495, 48.8356288268035]}";48.8356288268,2.31709342256
14503;rn31003;47;Rue;LA BOETIE;#;32.827;1983;598339.714;130337.526;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.313889495294664, 48.87348211298323]}";48.873482113,2.31388949529
14507;rn31004;61;Rue;LA BOETIE;#;31.685;1983;598209.791;130301.444;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.312118438626252, 48.873157273430635]}";48.8731572734,2.31211843863
14513;rn25048;#;Rue de;SAINT-SIMON;A l'angle du passage de la Visitation;33.152;1982;599079.788;128437.119;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.323983281436027, 48.85639377715762]}";48.8563937772,2.32398328144
14536;rn94187;58;Avenue des;MINIMES;94-VINCENNES_ A l'angle de l'avenue du Petit Parc_;45.14;1996;606722.074;126796.0;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.428106470001607, 48.841599560352044]}";48.8415995604,2.42810647
14538;rn20036;#;Place;MARCELIN BERTHELOT;Face à la rue Thénard_ Sur le collège de France;44.602;1981;600664.445;127625.037;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.345577985567073, 48.84909124716782]}";48.8490912472,2.34557798557
14571;rn42007;96;Rue;AMELOT;#;35.45;1985;602282.345;129037.579;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.367631569879702, 48.861789989353234]}";48.8617899894,2.36763156988
14582;rn69053;#;Rue;JOSEPH DE MAISTRE;Face au n°28_sur le cimetière de Montmartre;70.43;1988;599673.819;131920.893;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.3320757313516562, 48.88772308331184]}";48.8877230833,2.33207573135
14589;rn75556;#;Rue du;HAINAUT;Côté pair_Sur l'immeuble immatriculé au n°77 rue Petit;54.563;1992;603929.338;131780.139;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.390105809528618, 48.88644480167853]}";48.8864448017,2.39010580953
14611;rn03025;2;Rue des;PYRAMIDES;Angle place des Pyramides;34.164;1982;599694.838;129282.291;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.3323645748847213, 48.863994804806666]}";48.8639948048,2.33236457488
