,nodeid,latitude,longitude
0,125730,48.8635232,2.4107318
1,125742,48.8518516,2.401373
2,125747,48.8542608,2.414664
3,125760,48.8295112,2.4012582
4,360930,48.8263456,2.3614982
5,360932,48.826185,2.3572626
6,360933,48.8260749,2.3552177
7,360935,48.8258123,2.3503781
8,360937,48.8257548,2.3465866
9,360938,48.8259489,2.3452098
10,360946,48.8292991,2.3226525
11,360977,48.8305326,2.319263
12,360978,48.8318162,2.3141451
13,360980,48.8335638,2.3092306
14,360982,48.8372281,2.2964564
15,360983,48.8392633,2.2919595
16,360986,48.8421683,2.2855643
17,360988,48.8460845,2.2769366
18,360990,48.8474292,2.2737147
19,360991,48.8482358,2.2699037
20,360995,48.8479618,2.2622425
21,360996,48.8479228,2.2597619
22,360997,48.8479122,2.2585518
23,360999,48.8530352,2.2618853
24,361000,48.8573541,2.2646623
25,361001,48.8578749,2.2629378
26,361002,48.8584182,2.258932
27,361003,48.8583101,2.2559777
28,361017,48.8514246,2.2369388
29,361020,48.8570696,2.2284981
30,361024,48.8637173,2.2325723
31,361027,48.8622922,2.2383105
32,361029,48.845782,2.3675155
33,361031,48.8474791,2.365556
34,361032,48.8508902,2.3672854
35,361036,48.848785,2.3679961
36,361038,48.8428731,2.3639428
37,361041,48.8385973,2.3507157
38,361042,48.8380281,2.351
39,361043,48.8332121,2.3543465
40,361044,48.8331727,2.3567612
41,361045,48.8365766,2.3592953
42,361047,48.84166,2.3519793
43,361048,48.8396902,2.3512679
44,361050,48.8466037,2.3516349
45,361058,48.8266453,2.363724
46,361059,48.8471299,2.3512394
47,361060,48.8480778,2.3505051
48,361062,48.8523487,2.3482382
49,361068,48.8560629,2.350692
50,361069,48.8567676,2.3510829
51,361070,48.8574813,2.3514873
52,361073,48.8609169,2.3408314
53,361074,48.8612187,2.353509
54,361075,48.8627236,2.3543162
55,361084,48.8685611,2.3630587
56,361086,48.8669262,2.3656163
57,361091,48.8748138,2.3573832
58,361092,48.8672969,2.3568082
59,361093,48.8677102,2.3548458
60,361094,48.8689861,2.3557578
61,361096,48.8696795,2.3526101
62,361098,48.8706755,2.3478915
63,361099,48.871724,2.3416094
64,361100,48.8763569,2.3559847
65,361102,48.8785307,2.3540413
66,361103,48.8805026,2.3523217
67,361104,48.8719981,2.3400532
68,361105,48.8722422,2.3382998
69,361106,48.8729517,2.3333015
70,361107,48.8732194,2.3311474
71,361108,48.8742709,2.3313143
72,361109,48.8742988,2.3327119
73,361110,48.8761423,2.3311152
74,361112,48.8838548,2.3494771
75,361114,48.8884009,2.3479972
76,361116,48.8836894,2.3275607
77,361117,48.8847082,2.329479
78,361118,48.8875068,2.3333512
79,361120,48.8857811,2.3288341
80,361125,48.8900456,2.3292793
81,361135,48.8869872,2.3399176
82,361136,48.8865415,2.341406
83,361704,48.8261632,2.3599615
84,361705,48.8284735,2.358117
85,361706,48.8308507,2.3562364
86,361709,48.831829,2.3553079
87,361711,48.8313748,2.3549228
88,361712,48.8311129,2.3551038
89,361715,48.8318563,2.3558169
90,361721,48.8310597,2.3559813
91,361726,48.8303757,2.3527614
92,361729,48.8306421,2.3526433
93,361730,48.8311993,2.3543524
94,361731,48.8317002,2.3543662
95,361732,48.8319405,2.3534547
96,361733,48.8322202,2.3550299
97,361735,48.8313954,2.3581678
98,361736,48.832001,2.3599644
99,361737,48.8317022,2.3579381
100,361738,48.8313526,2.3568606
101,361739,48.8318002,2.3567175
102,361740,48.8322428,2.3560813
103,361741,48.8318213,2.3582931
104,361742,48.8320387,2.3589341
105,361744,48.8321857,2.3584105
106,361745,48.8320005,2.358415
107,361747,48.8328074,2.3564892
108,361748,48.8325125,2.3588028
109,361749,48.8331875,2.3593046
110,361752,48.8328501,2.3555283
111,361753,48.833208,2.3555425
112,361769,48.8317901,2.3634307
113,361795,48.8321761,2.3585528
114,366594,48.8270179,2.3664849
115,366595,48.8276787,2.3713592
116,366596,48.8273743,2.3691247
117,366603,48.8212039,2.379048
118,367504,48.8537953,2.3333421
119,367505,48.852103,2.3402953
120,367506,48.8513977,2.3431724
121,367508,48.8529535,2.3427988
122,367510,48.8530582,2.3468129
123,367513,48.8437431,2.3242724
124,367521,48.8515902,2.3311169
125,367530,48.8537909,2.3442925
126,367546,48.8420224,2.3228047
127,367547,48.8412731,2.3248713
128,367548,48.8393924,2.3305503
129,367584,48.8376837,2.3455218
130,367617,48.8341354,2.3333526
131,367618,48.8333972,2.332712
132,367881,48.8535037,2.2415301
133,367882,48.8548319,2.2423969
134,367887,48.8624438,2.2637168
135,367888,48.8627116,2.2664623
136,367889,48.8631344,2.2686662
137,367893,48.8726811,2.2845692
138,367905,48.8801036,2.2879169
139,367906,48.8848378,2.2966493
140,367908,48.885359,2.297261
141,367911,48.8845175,2.2971781
142,367912,48.8869046,2.3011576
143,367914,48.8881726,2.3105625
144,367915,48.8873505,2.3141215
145,367917,48.8822056,2.3203489
146,367926,48.8794904,2.3218476
147,367927,48.8790592,2.3232386
148,367928,48.8778593,2.3269497
149,367929,48.8838764,2.3327896
150,367932,48.8835576,2.3469998
151,367934,48.875888,2.3398698
152,367935,48.8756759,2.3431313
153,367937,48.8793121,2.3570795
154,367943,48.8794269,2.3676102
155,367946,48.8777477,2.3706147
156,367947,48.8740589,2.3635398
157,367950,48.8947381,2.3822734
158,367951,48.8829391,2.3704106
159,367967,48.8661921,2.3696433
160,367979,48.8667247,2.3651418
161,367986,48.8512901,2.3761292
162,367987,48.8497072,2.3706512
163,367988,48.8480061,2.3714593
164,367989,48.8486286,2.3725375
165,367991,48.8484349,2.3760584
166,367994,48.8468478,2.3694048
167,367995,48.8444983,2.3722312
168,367997,48.8404205,2.3789998
169,367998,48.8442794,2.3815641
170,367999,48.8505503,2.3793973
171,368000,48.8500762,2.3847292
172,368001,48.8419094,2.367868
173,368003,48.8474701,2.3967168
174,368006,48.8491238,2.397058
175,368007,48.8494264,2.3962019
176,368008,48.8493599,2.3953051
177,368009,48.8490929,2.3947333
178,368010,48.8486112,2.3943563
179,368011,48.847716,2.3946869
180,368012,48.8473365,2.39573
181,368014,48.8473461,2.3867729
182,368015,48.8462764,2.3878147
183,368041,48.8649684,2.3955541
184,368044,48.8644132,2.4015893
185,368047,48.8644023,2.4085287
186,368057,48.8406596,2.4090095
187,368058,48.8442874,2.4101755
188,368059,48.8446689,2.4057273
189,368061,48.8453024,2.3982497
190,368064,48.8411027,2.3989094
191,368065,48.8397185,2.3961013
192,368068,48.8353603,2.406596
193,368074,48.8348528,2.4080632
194,368075,48.8333363,2.4057115
195,368077,48.8340006,2.4108114
196,368078,48.8343583,2.4113663
197,368079,48.8424248,2.3854014
198,368081,48.839429,2.3945403
199,368082,48.8372975,2.3912093
200,368083,48.8370497,2.3900187
201,368084,48.8357065,2.3861104
202,368086,48.8398568,2.3795882
203,368092,48.8389016,2.3761489
204,368093,48.8375695,2.3736544
205,368094,48.8363674,2.3713522
206,368096,48.8367538,2.3743687
207,368125,48.8526468,2.3521881
208,368126,48.8511131,2.351303
209,368133,48.8573196,2.3492488
210,368137,48.8562773,2.3565987
211,368138,48.8546735,2.362765
212,368139,48.8535418,2.3665458
213,368140,48.8523738,2.3604658
214,368141,48.8529093,2.3589713
215,368142,48.8533327,2.3578164
216,368143,48.8543789,2.3549397
217,368145,48.849976,2.354875
218,368146,48.8494029,2.3567895
219,368147,48.849624,2.3560332
220,368175,48.8508102,2.3614294
221,368179,48.8600609,2.3434071
222,368180,48.8587581,2.3474471
223,368190,48.8589898,2.339848
224,368195,48.8608967,2.3300717
225,368204,48.8621629,2.3369827
226,368205,48.8637542,2.3320906
227,368207,48.8653053,2.3272651
228,368232,48.8514647,2.3370565
229,368233,48.8513168,2.3357195
230,368243,48.8640673,2.3201227
