,OBJECTID,NUMERO,IMMEUBLE,DESIGNATION,DENOMINATION,COMPLEMENT,ALTITUDE,ANNEE,X,Y,TYP,geo_shape,geo_point_2d,lat,long
0,14347,rn33088,1,Rue du,CARDINAL MERCIER,#,49.488,1985,599438.429,131177.365,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3288668703797812, 48.881036552250286]}","48.8810365523,2.32886687038",48.8810365523,2.32886687038
1,14355,rn39097,26,Boulevard de,STRASBOURG,#,35.152,1985,601405.488,130114.709,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3556839617065792, 48.87147898519688]}","48.8714789852,2.35568396171",48.8714789852,2.35568396171
2,14364,rn32111,29,Rue de,LISBONNE,Angle rue Mollien,44.063,1983,598304.037,130793.95300000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.313401168915176, 48.87758655069171]}","48.8775865507,2.31340116892",48.8775865507,2.31340116892
3,14398,rn35028,2,Rue de,TREVISE,Angle rue Bergère,34.26,1985,600625.25,130230.618,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.345047696083958, 48.87252262146244]}","48.8725226215,2.34504769608",48.8725226215,2.34504769608
4,14423,rn69285,11,Rue,ANGELIQUE COMPOINT,#,51.581,1988,599921.094,132983.73,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.335447459005032, 48.897280991841335]}","48.8972809918,2.33544745901",48.8972809918,2.33544745901
5,14424,rn54003,8,Rue,LEMAIGNAN,#,48.245,1982,600284.699,124907.278,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.340401834955014, 48.82465143352253]}","48.8246514335,2.34040183496",48.8246514335,2.34040183496
6,14429,rn61185,13,Rue,BOSIO,#,38.035,1994,594787.3470000001,127690.834,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.2654948154384282, 48.84966115382683]}","48.8496611538,2.26549481544",48.8496611538,2.26549481544
7,14465,rn57083,93,Rue de l',ABBE GROULT,Entre les rues de Vaugirard et François Villon,42.226000000000006,1984,597235.581,126402.59199999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.298864152833401, 48.83809227896082]}","48.838092279,2.29886415283",48.838092279,2.29886415283
8,14489,rn75198,80,Rue de,CRIMEE,#,72.539,2014,603679.355,131295.703,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.38669259010915, 48.882089940658034]}","48.8820899407,2.38669259011",48.8820899407,2.38669259011
9,14497,rn78078,#,Avenue,IBSEN,Angle avenue Gambetta sur l'angle du passage inférieur,89.74600000000001,1988,605672.458,129681.73199999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.413846500491392, 48.86756076817119]}","48.8675607682,2.41384650049",48.8675607682,2.41384650049
10,14511,rn57030,4,Rue de,CRONSTADT,#,46.725,1984,597496.29,126070.32199999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.30241790858779, 48.83510537806072]}","48.8351053781,2.30241790859",48.8351053781,2.30241790859
11,14524,rn22007,17,Rue,MADAME,#,36.525,1982,599666.698,127809.519,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.331982355225107, 48.85075052272558]}","48.8507505227,2.33198235523",48.8507505227,2.33198235523
12,14539,rn79238,#,Rue,LISFRANC,Face au n°10,84.26,1988,604830.6070000001,129058.22099999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.402363692782389, 48.86196086116717]}","48.8619608612,2.40236369278",48.8619608612,2.40236369278
13,14547,rn45077,#,Boulevard de la,GUYANE,Face au n°10 rue Cailletet,50.817,1984,605707.589,126957.427,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.414287305836358, 48.843061465135456]}","48.8430614651,2.41428730584",48.8430614651,2.41428730584
14,14560,rn80145,#,Rue,HARPIGNIES,Côté impair entre le boulevard Davout et la rue FélixTerrier,68.777,1988,605407.004,128709.55,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.41021517404878, 48.85882056698864]}","48.858820567,2.41021517405",48.858820567,2.41021517405
15,14572,rn67155,2,Square,CLAUDE DEBUSSY,#,47.257,1993,598344.124,131536.761,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.313944617225066, 48.88426654657851]}","48.8842665466,2.31394461723",48.8842665466,2.31394461723
16,14618,rn75345,41,Rue,PETIT,Angle rue de Lorraine_Sur le pan coupé,55.17,1992,603469.073,131641.259,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.383828278825063, 48.88519866370326]}","48.8851986637,2.38382827883",48.8851986637,2.38382827883
17,14624,rn77149,5,Rue de l',EST,#,105.42299999999999,1988,604222.246,130056.29400000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.394082225006982, 48.87094075458872]}","48.8709407546,2.39408222501",48.8709407546,2.39408222501
18,14631,rn62060,20,Rue,RAYNOUARD,#,55.163999999999994,1994,596059.705,128516.19900000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.282824310842094, 48.85709296331307]}","48.8570929633,2.28282431084",48.8570929633,2.28282431084
19,14632,rn27051,15,Rue,ROUSSELET,#,35.859,1982,598657.21,127653.763,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.318226977759657, 48.84934848072589]}","48.8493484807,2.31822697776",48.8493484807,2.31822697776
20,14655,rn46194,#,Avenue de,GRAVELLE,Face au n°121_ Sur le poste EDF,55.586000000000006,1996,606613.0,124869.0,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.426589230189558, 48.82427172788805]}","48.8242717279,2.42658923019",48.8242717279,2.42658923019
21,14662,rn67202,36,Boulevard,BERTHIER,#,31.833000000000002,1993,598023.962,132501.396,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.309574169035566, 48.89294032675282]}","48.8929403268,2.30957416904",48.8929403268,2.30957416904
22,14669,rn60154,34,Rue,CAUCHY,#,31.634,1995,595709.3670000001,126859.058,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.278067424051093, 48.84218835574452]}","48.8421883557,2.27806742405",48.8421883557,2.27806742405
23,14709,rn61177,53Bis,Rue,BOILEAU,#,40.054,1994,594620.382,126989.701,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.26322903975315, 48.843354596823325]}","48.8433545968,2.26322903975",48.8433545968,2.26322903975
24,14725,rn45240,#,Route de la,PYRAMIDE,Sur le pilier de la clôture d'enceinte du Parc Floral de Paris_ Près de l'entrée,47.364,1996,607717.245,126244.92199999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.441654321269197, 48.83663219179474]}","48.8366321918,2.44165432127",48.8366321918,2.44165432127
25,14729,rn57051,#,Rue,LECOURBE,Face à la rue Leblanc sur le pont SNCF,31.795,1984,595967.1460000001,126164.933,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.281586429559211, 48.83594801928151]}","48.8359480193,2.28158642956",48.8359480193,2.28158642956
26,14766,rn75194,5,Rue,GASTON PINOT,Angle rue d'Alsace-Lorraine,71.47800000000001,1992,604070.731,131443.138,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.392030547345168, 48.88341331500131]}","48.883413315,2.39203054735",48.883413315,2.39203054735
27,14784,rn42053,141,Rue du,CHEMIN VERT,Entre les rues Plichon et René Villerme,53.827,1982,603602.575,129113.255,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.385626491770746, 48.862464194220955]}","48.8624641942,2.38562649177",48.8624641942,2.38562649177
28,14793,rn72156,10,Rue,TRISTAN TZARA,Angle allée Rimski Korsakov,47.632,1995,602140.5210000001,132722.49,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.365717684682442, 48.894927981125704]}","48.8949279811,2.36571768468",48.8949279811,2.36571768468
29,14861,rn12002,69,Rue des,GRAVILLIERS,#,34.486,1983,601297.2779999999,129341.256,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.354206405275392, 48.86452375521905]}","48.8645237552,2.35420640528",48.8645237552,2.35420640528
30,14864,rn75394,#,Rue,ALPHONSE AULARD,Face au n°3,98.272,2012,604586.465,131093.285,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.399058943182178, 48.88026353840491]}","48.8802635384,2.39905894318",48.8802635384,2.39905894318
31,14940,rn45103,30,Rue,MONTERA,#,52.483000000000004,1984,605409.154,127252.854,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.410225193967054, 48.845720855380385]}","48.8457208554,2.41022519397",48.8457208554,2.41022519397
32,15005,rn68060,39,Rue,NAVIER,#,46.185,1993,599151.616,132813.78699999998,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.32495263428448, 48.89575216347493]}","48.8957521635,2.32495263428",48.8957521635,2.32495263428
33,15048,rn74075,#,#,CANAL DE L'OURCQ,Sur la culée Sud angle Est du boulevard Périphérique,53.113,1984,604275.4,132798.9,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.394835501691431, 48.89560394928152]}","48.8956039493,2.39483550169",48.8956039493,2.39483550169
34,15056,rn65042,24,Rue,TORRICELLI,Angle Rue Bayen,35.06,1993,596789.752,131191.874,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.292752265231416, 48.88115890820791]}","48.8811589082,2.29275226523",48.8811589082,2.29275226523
35,15070,rn41115,16,Boulevard,JULES FERRY,#,35.731,1985,602339.688,129720.84800000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.368417013457576, 48.86793423844634]}","48.8679342384,2.36841701346",48.8679342384,2.36841701346
36,15108,rn64187,11,Avenue du,PRESIDENT WILSON,Au musée d'art moderne_ Sur le mur de soutènement de la ville de Paris,40.789,1994,597128.32,129367.535,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.297381697527683, 48.86475476555949]}","48.8647547656,2.29738169753",48.8647547656,2.29738169753
37,15119,rn71133,10,Rue,CAPLAT,#,60.896,1993,601160.311,131591.1,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.352345731748695, 48.88475631451231]}","48.8847563145,2.35234573175",48.8847563145,2.35234573175
38,15140,rn94277,20,Rue des,ORMES,94-CHARENTON-LE-PONT_ A l'angle de la rue du Bac_Sur le pan coupé,51.613,1996,605961.207,124868.3,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.41771224087079, 48.82427208654272]}","48.8242720865,2.41771224087",48.8242720865,2.41771224087
39,15143,rn61103,141,Avenue,MOZART,A l'angle de la rue La Fontaine,36.457,1994,594863.466,127642.724,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.26653265043337, 48.84922915553841]}","48.8492291555,2.26653265043",48.8492291555,2.26653265043
40,15170,rn77018,28,Rue,FREDERICK LEMAITRE,Près de l'avenue Taillade,105.491,1988,604179.179,130480.28300000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.393499460216292, 48.87475387526573]}","48.8747538753,2.39349946022",48.8747538753,2.39349946022
41,15203,rn61253,16,Rue du,GENERAL MALLETERRE,#,34.29,1994,594549.566,126194.964,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.262274928785581, 48.83620710118346]}","48.8362071012,2.26227492879",48.8362071012,2.26227492879
42,15246,rn75376,16,Villa des,LILAS,Sur le muret,105.7,2014,604260.832,131052.119,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.394618607146236, 48.87989568953513]}","48.8798956895,2.39461860715",48.8798956895,2.39461860715
43,15335,rn39096,16,Boulevard de,STRASBOURG,#,35.488,1985,601376.818,130037.01400000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.355292867011625, 48.87078035831713]}","48.8707803583,2.35529286701",48.8707803583,2.35529286701
44,15351,rn70269,110Bis,Rue,MARCADET,#,65.83,1988,600482.254,132317.072,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.343100592034587, 48.89128571233131]}","48.8912857123,2.34310059203",48.8912857123,2.34310059203
45,15352,rn25017,37,Rue de,BELLECHASSE,#,34.778,1982,598914.9820000001,128505.743,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3217370899761303, 48.85701062856757]}","48.8570106286,2.32173708998",48.8570106286,2.32173708998
46,15355,rn37009,27,Rue du,CHATEAU LANDON,Angle rue Louis Blanc sur le lycée Colbert,54.575,2007,601954.868,131323.00400000002,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.363178990057317, 48.88234337309092]}","48.8823433731,2.36317899006",48.8823433731,2.36317899006
47,15372,rn63018,64,Rue de,LONGCHAMP,#,64.133,1994,596311.926,129413.97300000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.286253437893736, 48.86516799289162]}","48.8651679929,2.28625343789",48.8651679929,2.28625343789
48,15386,rn70448,9,Rue du,CARDINAL DUBOIS,Angle rue Foyatier sur la gare haute du funiculaire,116.848,1988,600436.1579999999,131695.353,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.342471332565493, 48.88569478332781]}","48.8856947833,2.34247133257",48.8856947833,2.34247133257
49,15430,rn71086,#,Rue des,POISSONNIERS,Face au n°99 sur la clôture,48.281000000000006,1988,601168.25,132475.571,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.352456459094456, 48.892710127063275]}","48.8927101271,2.35245645909",48.8927101271,2.35245645909
50,15478,rn67180,8,Rue,HELENE,Sur le mur en retour,61.373999999999995,1993,599172.305,131786.05800000002,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.325236998314287, 48.88651007935779]}","48.8865100794,2.32523699831",48.8865100794,2.32523699831
51,15502,rn01002,#,Rue de,RIVOLI,Face à la rue Cambon_ Sur la sortie de la station de métro Concorde,33.884,1982,599159.468,129494.73300000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.32506689180134, 48.865904747137726]}","48.8659047471,2.3250668918",48.8659047471,2.3250668918
52,15509,rn62096,31,Boulevard,JULES SANDEAU,#,53.244,1994,595262.011,129240.37,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.271944530162219, 48.86359960062448]}","48.8635996006,2.27194453016",48.8635996006,2.27194453016
53,15520,rn72001,#,Rue,CHARLES HERMITE,A 50 mètres de la rue Gaston-Tissandier,43.621,1988,602209.74,133252.48,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.366664587057291, 48.89969380309764]}","48.8996938031,2.36666458706",48.8996938031,2.36666458706
54,15533,rn69335,#,Avenue de la,PORTE DE SAINT-OUEN,Sur la culée sud du boulevard Périphérique,40.795,1988,599553.324,133345.299,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.330430878982556, 48.90053233967694]}","48.9005323397,2.33043087898",48.9005323397,2.33043087898
55,15577,rn25023,21,Rue de,BABYLONE,Face au n°24,35.624,1982,598963.082,127908.62599999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.322394189088023, 48.85164098873984]}","48.8516409887,2.32239418909",48.8516409887,2.32239418909
56,15692,rn65157,5,Passage,DOISY,#,37.243,1993,596721.2579999999,130916.195,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.291820604073745, 48.87867943137663]}","48.8786794314,2.29182060407",48.8786794314,2.29182060407
57,15700,rn23019,16,Rue,NOTRE-DAME DES CHAMPS,#,42.043,1982,599326.642,127310.69,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.327349413170381, 48.84626440491084]}","48.8462644049,2.32734941317",48.8462644049,2.32734941317
58,15749,rn45091,6,Avenue de la,PORTE DE VINCENNES,#,52.293,1984,605532.797,127349.975,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.411911169626042, 48.84659314209522]}","48.8465931421,2.41191116963",48.8465931421,2.41191116963
59,15768,rn33012,1,Rue,VICTOR MASSE,Angle rue des Martyrs,56.199,1985,600268.809,131106.981,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3401889905800592, 48.88040379720208]}","48.8804037972,2.34018899058",48.8804037972,2.34018899058
